name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Escape London,"117 Uxbridge Rd, London W12 8NL, United Kingdom",escape-london.co.uk,+44 7498 285761,1991,4.9,54.9062497,-13.9744005
Escape Puzzles,"56 Starfield Rd, London W12 9SW, United Kingdom",escapepuzzles.co.uk,+44 7848 872389,5,4.6,54.9062497,-13.9744005
Escape Rooms London - Escape Land,"37-39 Oxford St, London W1D 2DU, United Kingdom",escaperooms.london,+44 7897 454152,402,4.8,54.9062497,-13.9744005
No Escape Oxford St,"3rd floor, inside Food and wine, 51 Oxford St, London W1D 2EF, United Kingdom",noescapelondon.co.uk,+44 20 3612 4409,1198,4.9,54.9062497,-13.9744005
DNA VR,"Unit A, 77 Fulham Palace road, Assembly, London W6 8JA, United Kingdom",dnavr.co.uk,+44 20 8222 8673,270,4.8,54.9062497,-13.9744005
clueQuest - The Live Escape Game,"169-171 Caledonian Rd, London N1 0SL, United Kingdom",cluequest.co.uk,+44 7798 772382,2091,4.8,54.9062497,-13.9744005
No Escape (Enigma Escape),"Unit 38, 10 Hornsey St, London N7 8EL, United Kingdom",enigmaescape.co.uk,+44 20 7607 8706,367,4.8,54.9062497,-13.9744005
"Escape Room ""The Butcher""","59 Wentworth St, London E1 7TD, United Kingdom",,,3,5.0,54.9062497,-13.9744005
Escape Hunt Oxford Street,"70 Oxford St, London W1D 1BN, United Kingdom",escapehunt.com,+44 20 7637 3222,2177,4.9,54.9062497,-13.9744005
Escape from The Golden Hinde,"The Golden Hinde, St Mary Overie's Dock, Cathedral St, London SE1 9DE, United Kingdom",escapeintime.co.uk,,25,4.8,54.9062497,-13.9744005
Houdini's Escape Room Experience - Farringdon,"94 Cowcross St, London EC1M 6BH, United Kingdom",houdinisescape.co.uk,+44 800 999 1996,637,5.0,54.9062497,-13.9744005
"Escape Room ""The Butcher""","59 Wentworth St, London E1 7TD, United Kingdom",,,3,5.0,54.9062497,-13.9744005
Looking for puzzle ideas for your next escape room game?,"172 S Lambeth Rd, London SW8 1XP, United Kingdom",,+44 20 7582 8142,,,54.9062497,-13.9744005
Game Over London,"L1, Prince Charles Dr, London NW4 3RW, United Kingdom",london.escapegameover.co.uk,+44 20 8359 9925,84,5.0,54.9062497,-13.9744005
Omescape London,"1st Floor, 75 Greenfield Rd, London E1 1EJ, United Kingdom",omescapelondon.co.uk,+44 20 7278 5200,274,4.7,54.9062497,-13.9744005
Game Over London,"L1, Prince Charles Dr, London NW4 3RW, United Kingdom",london.escapegameover.co.uk,+44 20 8359 9925,84,5.0,54.9062497,-13.9744005
"Escape Room ""Cabin Fever""","41 Peckham High St, London SE15 5DL, United Kingdom",,,2,5.0,54.9062497,-13.9744005
"Escape Room ""Sweeney Todd""","51 Oxford St, London W1D 2EF, United Kingdom",,,,,54.9062497,-13.9744005
"Escape Room ""Sweeney Todd""","51 Oxford St, London W1D 2EF, United Kingdom",,,,,54.9062497,-13.9744005
Clue Adventures,"Coach & Horses, 391 High Rd. Leyton, London E10 5NA, United Kingdom",clueadventures.com,+44 20 8556 6615,289,4.9,54.9062497,-13.9744005
